R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3	R0	R1	R2	R3	R4	R5	R6	signedCPS1	signedCPS2	signedCPS3	signedCPS4	signedCPS5	signedCPS6	FDR1	FDR2	FDR3	FDR4	FDR5	FDR6
ENSG00000007923	10.6015	10.5663	10.5308	10.4608	10.2292	10.3275	10.4868	10.6109	10.5893	10.6012	10.6131	10.6371	10.2978	10.3973	10.5384	10.6498	20.6215	20.593	20.9725	21.0009	20.5428	19.957	20.1724	19.3265	20.9766	20.2679	20.9106	20.6356	20.875	20.7692	20.9243	19.7658	0.460353032	0.549385052	0.502564949	0.489521041	0.478570841	0.505368886	0.194910388	0.403	-0.29	-0.183	-0.205	0.278	-0.976	0.403572744908	0.519117577664	0.59491886044	0.581946970422	0.528591941118	0.0124714285714
ENSG00000008018	15.6844	15.6637	15.643	15.6027	15.4652	15.6346	15.7052	15.747	15.5791	15.5958	15.6126	15.6472	15.6852	15.6077	15.6527	15.6999	23.4546	23.9861	23.4276	23.9862	23.2421	23.2521	22.2468	22.5618	23.8102	23.6147	23.8427	24.0781	23.8331	23.5857	23.366	23.6779	0.589113398	0.575318028	0.64088254	0.439698032	0.393857104	0.345677592	0.384731675	-0.267	0.371	-0.706	-0.351	-0.337	0.274	0.537383762518	0.441691605477	0.157752798507	0.462714640199	0.477050861362	0.531984555038
ENSG00000008282	10.8107	10.8413	10.8721	10.9343	10.3695	10.5494	10.7751	10.939	11.0985	10.9769	10.855	10.6106	10.8199	10.796	10.8296	10.8631	20.3624	20.9112	20.8008	20.9977	20.8758	20.0632	19.562	21.2169	20.5993	20.6852	19.392	20.7767	19.4219	20.6037	20.4849	20.632	0.467603098	0.400116829	0.458495594	0.405602645	0.422666057	0.433522114	0.654397617	-0.33	0.305	-0.268	0.243	0.267	0.643	0.483293828336	0.506259820426	0.536708577581	0.55534549216	0.537383762518	0.19537808418
ENSG00000009844	8.05915	8.0592	8.05914	8.05873	8.89515	8.89613	8.89613	8.89613	7.9	7.86088	7.82145	7.74113	7.8563	7.52393	7.72152	7.79397	22.286	21.2163	21.901	21.5136	21.7965	21.2014	21.2963	20.3347	22.8988	22.2393	22.719	22.6091	21.9785	22.1226	21.7788	22.1354	0.430178476	0.68903786	0.614582343	0.516341385	0.39644537	0.372432731	0.343051424	0.701	-0.404	-0.484	-0.551	-0.25	-0.282	0.160287545788	0.402351878965	0.316103396226	0.259077777778	0.550135449262	0.525640993159
ENSG00000009954	11.0705	11.0958	11.1209	11.1715	11.4963	11.1468	11.0131	10.8723	11.1176	11.0866	11.0562	10.9997	10.7097	10.6573	10.741	10.8178	23.5634	23.8227	24.1097	23.3769	23.4427	22.1772	22.7244	21.7451	23.5502	23.5423	23.3681	23.3943	23.2946	22.845	23.2063	21.5693	0.589982283	0.547539822	0.464521671	0.4262346	0.2942088794	0.403231806	0.1490289316	-0.354	-0.428	-0.357	-0.568	0.463	-0.866	0.459422514884	0.374658509142	0.456374656153	0.247230893434	0.33627465029	0.0715466970387
ENSG00000010244	11.1013	11.1188	11.1358	11.1684	11.5408	10.6923	10.8638	10.8533	11.2513	11.1584	11.0651	10.8771	10.4323	10.6958	10.865	10.9868	22.4676	22.5014	22.3026	22.4616	22.5406	22.6986	22.4184	21.7751	22.8122	22.7846	22.2134	22.5852	22.0696	22.0011	21.8077	21.6527	0.490624009	0.479557974	0.493875942	0.485202418	0.483660451	0.4603365	0.379385914	-0.184	0.164	-0.16	-0.131	-0.283	-0.519	0.594439465125	0.604740526543	0.606494902767	0.618984222511	0.52476431662	0.284728881026
ENSG00000010256	13.1194	13.08	13.0406	12.9621	12.9878	13.0882	13.0206	12.9527	13.3435	13.2349	13.1263	12.9087	13.3967	13.2289	13.1087	13.0239	24.4259	24.5523	24.5197	24.5741	24.3135	24.2631	24.538	24.9148	24.3689	24.4271	24.3366	24.3073	24.4047	24.179	24.4105	24.1054	0.48908592	0.487112626	0.487051425	0.485583418	0.482297369	0.49631216	0.509989191	-0.118	-0.098	-0.085	-0.116	0.18	0.191	0.622950120096	0.627235938239	0.628622168221	0.623551561626	0.596932011078	0.590537018302
ENSG00000010278	10.2756	10.2767	10.2776	10.2821	8.71209	9.4572	10.066	10.5046	10.6318	10.3	9.96734	9.29804	9.87366	10.2475	10.0705	10.1299	22.4061	20.9484	21.879	21.1728	22.5594	21.3041	23.8291	23.2666	22.6427	21.5651	22.2108	22.1584	22.8835	22.4834	22.2062	22.7987	0.2178867052	0.467030824	0.491177764	0.759629483	0.766804555	0.81851334	0.796573052	0.719	0.412	0.713	0.353	0.353	-0.281	0.150470935961	0.392784414253	0.153421965318	0.460526721664	0.460526721664	0.526393438486
ENSG00000010292	11.8254	11.8277	11.8304	11.8395	11.1728	11.4312	11.7336	11.9654	12.1736	12.1143	12.0548	11.9395	11.5781	11.6843	11.8077	11.8908	22.621	22.2481	22.0081	22.0335	22.1662	21.7938	21.5196	20.7906	23.4261	22.6374	23.3189	22.9047	21.5797	21.9125	21.992	21.2688	0.474825014	0.516903128	0.478443349	0.435531949	0.463080446	0.438385885	0.2426913635	0.303	-0.309	-0.288	0.271	-0.289	-0.813	0.507995273839	0.503045097759	0.520906895208	0.534461454677	0.52001409002	0.0989224683544
ENSG00000011009	8.4085	8.38203	8.35484	8.29987	7.78117	7.89381	8.20029	8.40944	8.72087	8.54569	8.37004	8.0159	7.99873	8.08822	8.27643	8.42683	21.3276	22.0499	20.581	21.4294	21.123	20.8063	20.0156	20.0134	21.8345	21.7432	21.7543	22.2704	20.6969	20.9459	20.6562	20.5987	0.608523333	0.48712192	0.626691197	0.410788364	0.405835437	0.355100967	0.347349505	-0.463	0.456	-0.674	-0.262	-0.337	-0.231	0.33627465029	0.344161364382	0.175147933884	0.54108224146	0.477050861362	0.564068210263
ENSG00000011376	10.3022	10.281	10.2604	10.2193	9.87274	9.61241	9.76049	9.92511	10.2209	10.28	10.3397	10.4639	9.39745	9.77994	9.97843	10.1095	22.2049	22.2599	21.6584	21.9255	20.9358	21.5794	21.4651	21.5817	19.2375	20.9157	21.0454	21.7294	21.2123	20.7876	20.889	21.032	0.594045823	0.52470922	0.53926291	0.44491557	0.529700996	0.558741971	0.589503147	-0.361	0.274	-0.38	0.387	0.297	0.315	0.452934989725	0.531984555038	0.430706711551	0.422136473696	0.513150142026	0.497629939768
ENSG00000011454	7.99941	7.89728	7.79454	7.58363	8.13883	8.21722	8.06554	7.96704	7.79054	7.88448	7.97928	8.17044	7.90079	7.76872	7.71924	7.6829	20.8375	18.8744	20.5275	19.4143	19.833	19.4602	19.7375	20.3	20.5616	19.4942	19.7886	19.9016	17.81	19.4123	17.9081	18.0159	0.322981903	0.615039377	0.446972631	0.3426401502	0.368044904	0.3471180189	0.404441882	0.664	-0.548	-0.426	0.267	-0.255	0.361	0.181772943038	0.261178821179	0.377511228167	0.537383762518	0.546146750285	0.452934989725
ENSG00000011485	8.25779	8.23424	8.21055	8.16346	7.91527	7.42174	7.78642	7.93833	8.58904	8.41117	8.23344	7.87823	7.6462	7.94468	8.16787	8.34997	21.2369	21.1583	21.2071	21.5893	21.4847	20.4037	20.891	20.4083	22.027	21.441	22.0249	21.8713	21.3253	21.2652	20.6567	20.5174	0.457016901	0.567173391	0.576117678	0.47630677	0.401969407	0.394191879	0.360931577	0.473	0.315	-0.499	-0.47	-0.233	-0.301	0.326262553802	0.497629939768	0.302273867314	0.329467702083	0.562873583718	0.509718044077
ENSG00000012223	4.17391	4.25742	4.34102	4.50937	4.80931	4.57309	4.40396	4.28746	4.28095	4.25939	4.23813	4.19737	4.47116	4.38199	4.4112	4.4469	29.752	29.0524	29.4287	29.0133	29.5801	31.73	29.8098	32.2253	28.4481	29.077	28.5625	28.4924	30.6399	31.034	30.7002	31.2651	0.364765628	0.33513387	0.3687157939	0.873585194	0.898067191	0.896194962	0.891752234	-0.34	0.318	0.924	0.232	-0.178	-0.191	0.473978315263	0.494726051925	0.0385636363636	0.56357783586	0.597965584704	0.590537018302
ENSG00000013275	11.1809	11.193	11.205	11.2281	11.2289	11.3091	11.3181	11.3181	11.4821	11.3299	11.1777	10.8729	11.7014	11.7548	11.8056	11.8437	23.4975	23.72	23.8345	23.7	23.3504	23.5915	23.499	23.1614	24.1109	23.8515	24.2366	24.1427	23.947	23.7296	23.6488	23.9585	0.59006276	0.62698904	0.580271449	0.486186277	0.446710548	0.430682691	0.426344845	0.286	-0.337	-0.57	-0.33	-0.205	-0.157	0.522486155827	0.477050861362	0.245841106291	0.483293828336	0.581946970422	0.608269341949
ENSG00000013375	10.6131	10.6902	10.7679	10.9269	11.9204	11.624	11.1799	10.8306	10.6404	10.6572	10.6741	10.7083	12.5974	11.8776	11.1418	10.5882	18.7937	20.054	19.4571	18.8798	19.1199	19.5698	19.7678	19.5826	20.8346	19.5591	20.2629	19.825	19.4048	18.8757	19.1172	20.1881	0.591208219	0.536748084	0.428880797	0.391314464	0.1791629483	0.25357149	0.586809222	-0.401	-0.458	-0.367	-0.834	0.407	0.795	0.405574274058	0.341925704809	0.446549303944	0.0868811700183	0.398339063279	0.107595683453
ENSG00000013583	13.0298	13.0127	12.9968	12.9709	12.8976	12.7931	12.8972	12.9858	12.9899	12.9844	12.9783	12.9669	12.7714	12.8363	12.9103	12.9653	19.5788	21.1324	20.3576	20.3729	19.7208	19.835	20.3926	19.2216	21.3408	21.0693	21.134	21.2896	20.5348	19.9985	19.4635	20.3769	0.731906398	0.592130781	0.501153078	0.377922942	0.379136954	0.38137278	0.380000483	-0.512	-0.464	-0.523	0.225	0.206	-0.231	0.291376229158	0.335453579993	0.281152702703	0.568262620069	0.581131930431	0.564068210263
ENSG00000013588	9.04046	9.13213	9.22353	9.40951	8.29002	8.44715	8.89466	9.25676	9.43029	9.32627	9.22223	9.01506	8.56795	8.88923	9.13911	9.32128	17.9969	20.0592	19.3991	19.5474	19.2267	17.8568	17.4397	17.5194	19.8824	20.0597	18.5801	19.9926	19.5395	19.0362	18.6801	17.1397	0.736371857	0.601334168	0.656354468	0.542356859	0.353721618	0.287795407	0.2242150701	-0.504	0.406	-0.459	-0.599	-0.377	-0.392	0.298391914191	0.399496037642	0.340730063397	0.225783636364	0.433779341751	0.416162616398
ENSG00000014138	10.2073	10.2466	10.2858	10.366	11.2416	10.0125	10.3117	10.3251	10.4394	10.3468	10.2538	10.0664	9.57407	9.92122	10.0799	10.2614	23.1317	23.3665	21.9332	21.8348	20.5666	20.7859	20.2043	21.1466	22.1507	21.5508	20.3379	21.9524	20.008	21.0351	20.3901	19.8163	0.509802836	0.3912095573	0.532672454	0.3302430966	0.346511534	0.341616328	0.374617471	-0.445	0.459	-0.574	0.272	-0.229	0.283	0.355032298137	0.340730063397	0.242220685841	0.533850552386	0.565556326362	0.52476431662
