Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
Fkbp8	3.97732503045023	3.89413035488534	3.86860559206975	3.75473327343268	3.68435245405072	3.61112550264731	3.55322532701005	3.959392531701	3.84174459101727	3.90202557263857	3.73963585005617	3.7429467230898	3.67657284408824	3.5029979125929
Flii	4.20579275351973	4.31857611559741	4.18989946811269	4.26283198917196	4.15162888452985	4.2120150302718	4.1189188410448	4.28994894531845	4.23309082330359	4.1723630637345	4.28056592420858	4.20412706175459	4.16363490831528	4.17311693382309
Flna	6.72558657700946	6.65941627272719	6.70117067119508	6.65481356245229	6.67402478067898	6.57721461088129	6.57036990863551	6.69288506550474	6.68244333636396	6.58033466161419	6.64084766186132	6.66199960487128	6.62154635285673	6.57200646018537
Flnb	1.40220585605906	1.48419078333915	1.41487184299616	1.37520151050724	1.36613920131669	1.24214375984992	1.16401435179487	1.44665949997896	1.44517997192347	1.47972846241244	1.3980162128617	1.3698884540035	1.30653287123514	1.23952943660317
Fnbp4	1.6613828798463	1.52911926828399	1.60247937890333	1.52068184745189	1.34755641332567	1.30391239879788	1.16761628707941	1.59820343321272	1.69456955083348	1.66709873731001	1.56507158143048	1.4487625063116	1.22633849727887	1.21845804948479
Frmd8	3.14658219904318	3.08415727829592	3.02583926927954	2.97844782511655	2.84077541528422	2.84083874994274	2.68346311257639	3.1007206047242	3.15524939884352	3.13378664027631	3.04224182939597	2.96392491600704	2.86820962802819	2.67972221954737
Fscn1	4.27814742877878	4.24606954616183	4.34503889579163	4.27390684980298	4.12600700895053	4.09466806225528	4.0187031022424	4.28045873126263	4.35200049101413	4.25910469212644	4.22734125509791	4.1505825898743	4.07827021484579	4.03121211774232
Fth1	3.98225258675455	4.00867813586785	3.88787100167616	3.79427118867419	3.63973104698553	3.44851268373684	3.20461626500382	4.04278552493204	3.91812945657292	3.94949659142479	3.82332786990238	3.61555338153587	3.42566472310716	3.17383345330518
Ftsjd2	2.12130792235358	2.09352734558599	2.05844400210225	1.95401520271462	1.99475698180567	1.98635672081795	1.869596675613	2.10291004957507	2.14812445701332	2.0681870748887	2.00806222788656	2.02715495402885	1.92365438962993	1.91928060543949
Fus;Gm10167;AK134717	5.2143947984367	5.14948129589966	5.15329893136924	5.1054793843708	5.22575959421391	5.08934177804333	4.97390017018254	5.20615412241179	5.17227523657144	5.17341817772067	5.14945172493707	5.15296464276351	5.11917496634075	5.12910564895829
G3BP;G3bp1	5.78982267282874	5.92612499230993	5.84679991899979	5.78723234383447	5.81069893088848	5.75569134771527	5.74924723127364	5.90970024545819	5.89880087867349	5.78876624004182	5.78510270285861	5.72585806392533	5.78830186791135	5.67772590728802
G3bp2	4.13851228803944	4.195703642912	4.20562320058469	4.06599478368331	4.05126331186702	3.9966680854822	3.97902180514124	4.20137582426421	4.15873469405875	4.16262367276542	4.11256996393681	4.05372506335234	3.99663458240851	3.94880905990552
Gak	3.11422032192727	3.00934893982663	2.97655380058331	3.04054424426099	2.91607299002503	2.87946096269693	2.8808563384464	3.170195075649	3.03398067059748	2.96064461674126	2.92333118097838	2.88085832495751	2.89803213624056	2.85481462939621
Gale	3.17285954200112	3.18661332438048	3.25358956017455	3.13459135171872	2.96307717631496	2.88261203584404	2.82923383722208	3.18442203670211	3.17980278153988	3.07665467273709	3.09488776071798	2.99205011517906	2.93595953669785	2.77296426731335
Galm	3.77167459608365	3.68119777157439	3.68625438067685	3.64311995253565	3.62249643734526	3.6282106065591	3.56828860999853	3.75095213577772	3.72174700021105	3.66036991403702	3.75773068503752	3.71361041781325	3.59495118713605	3.47223885637864
Gapdh	9.77654142850322	9.72091924878944	9.746212168748	9.75005177328513	9.65377264227078	9.67937393746854	9.64155952184509	9.71649413964853	9.72768482428722	9.79956326497509	9.78588744599491	9.70617242863253	9.68645493641268	9.60807504043643
Gart	4.95509175076658	5.01570888185735	4.82516293176254	4.85590160369851	4.90944822054922	4.86476055810408	4.85365635062029	5.00781401350827	5.01992087008928	4.84008938072874	4.90775180754133	4.84522697808107	4.8592121867744	4.91895432245412
Gas7	4.70046288397357	4.72594639756652	4.60634697348351	4.58227598116562	4.42172069467825	4.5337010163219	4.43415738164847	4.64636857450732	4.72369269253345	4.6635161771241	4.72788331153481	4.50007179174432	4.56104361736587	4.5702326548072
Gatad2a	3.25033456695113	3.27551093777334	3.22024866820644	3.12438327718141	2.97679778790666	2.89884900494626	2.7983619095671	3.25147280322403	3.19698568060975	3.22797844196288	3.07903031850566	3.13302642388731	2.89294610852037	2.79153697546082
Gba	4.44158617432039	4.42413480568348	4.46835165292895	4.41436386054427	4.45410817499234	4.45287530742746	4.40457315408005	4.43178403965048	4.42808204766043	4.5150656121272	4.44076468922064	4.30316393075325	4.44988038837844	4.38566345793646
Gbas	3.89702255239855	3.91380842648622	4.00709861108763	3.90944748984386	3.90783984641673	3.78200980133752	3.77802479465335	4.01429422406398	4.06626234615047	4.08343350760294	3.87525755276961	3.86364019911035	3.82245513580328	3.68943415923439
Gbp2	4.35764294907603	4.27136509079879	4.27468173482337	4.16976757291316	4.19499155352117	4.12809023410946	3.9757261006437	4.37836321445275	4.3305591945139	4.22882605976683	4.251821586738	4.13663738643873	4.06082718893732	3.95400500259748
Gbp5;Gbp1	3.530654234818	3.52629782623138	3.35601137669711	3.37065167316566	3.29481546487582	3.22928771051845	3.11361776675964	3.46057883563888	3.49383374774491	3.49802442296787	3.39717479177299	3.31010151402275	3.27435217968879	3.1146953446387
Gcdh	2.08574994204341	2.02203160569175	1.96049876864703	1.97139490228846	1.99387822766032	1.75351214711379	1.8519176190784	2.10746052254435	2.03476820293433	1.94507207102332	1.89648569608475	1.92613205628914	1.95852621170004	1.79872684652476
Gda	5.72775608243434	5.6406495927216	5.7305585617338	5.75664169062325	5.70013781612899	5.6674161950475	5.70064814808272	5.6972219675388	5.80806906836722	5.73968121903619	5.73077967617708	5.69246231497589	5.7152303975888	5.64692441272852
Gdi1	3.71228514548876	3.59914062561418	3.62408185874953	3.51864915883187	3.56125774065248	3.54349908373738	3.39699260778079	3.66583336892666	3.62264686449785	3.64070380506151	3.57833346386866	3.57004715097827	3.58968050821779	3.42144556194557
