Gene Group	H/L LPS R1 0h	H/L LPS R1 01h	H/L LPS R1 02h	H/L LPS R1 04h	H/L LPS R1 06h	H/L LPS R1 09h	H/L LPS R1 12h	H/L LPS R2 0h	H/L LPS R2 01h	H/L LPS R2 02h	H/L LPS R2 04h	H/L LPS R2 06h	H/L LPS R2 09h	H/L LPS R2 12h
Ogfr	0.346332513932708	0.507380810912969	0.60983771038361	0.780685953139536	0.985215356598639	1.23393811774202	1.36819240777568	0.316097919450898	0.451476877599592	0.519045593005258	0.742946376947341	0.941597947881726	1.14586643746921	1.30725013266398
Os9	-0.060637063799106	0.192386246176891	0.458435185335349	0.898690483897739	1.13568825081439	1.41527380762601	1.65671219083336	-0.0695776927062555	0.275768423151325	0.503113841327902	0.862886484668282	1.08090943817562	1.46173684348135	1.64124221238499
Osbpl11	0.316789988793645	0.295342648116076	0.339771588348485	0.349254060401792	0.349334637856128	0.359747926571104	0.282415402730383	0.255202523838152	0.333818792983139	0.187100496888131	0.333848701243261	0.385054775525004	0.357500392816364	0.395701353796485
Osbpl3	-0.155726022865105	0.0227688342199671	0.0838692279593816	0.156262201060493	0.448366514714064	0.707845363431734	1.02933153218789	-0.212553363657608	-0.111249539146884	-0.115218716643297	0.104586917808688	0.438427839921425	0.735713654986036	1.04759251883157
Osbpl8	1.85746530248173	1.84984996951013	1.86652821027335	1.96414640016364	1.94489794279201	2.01932235975847	2.34782752094464	1.9880348041475	1.91369747085767	1.90768928915186	2.06963817807294	1.94996093785315	1.90910988202667	2.42357372378202
Ostf1	4.65225592676295	4.76292547525645	4.85176122210305	4.86685173461238	4.80063886120488	5.08105028314965	5.14448629243362	4.64618670007675	4.88144503450092	4.77045834057425	4.86976751190316	4.94355536686612	5.17281034573224	5.19401438404928
Otub1	2.52163951691073	2.50440673862131	2.47897282476544	2.69962827306902	2.89799814935011	3.22447309671137	3.42036667308788	2.44884600481056	2.54028625761891	2.5456651559451	2.56254656886066	2.84381430294189	3.22060367185643	3.38784096756141
P4hb	5.05077367748261	5.23711003137079	5.26846023316505	5.24676176358982	5.19020158868487	5.34214655135806	5.34459486061203	5.1695908748408	5.12123013192763	5.13834765713193	5.24423709344625	5.28480338163991	5.33912198230108	5.43090986719415
Pafah1b1	1.47825549110056	1.57019071132068	1.47323542432316	1.60174001211595	1.70789553086092	1.78211184309442	2.12699815497637	1.3772861054286	1.5534818076414	1.42235285714913	1.60840411696648	1.63509148956155	1.74126824465414	2.03018493544385
Paics	3.64500459655224	3.6606094290974	3.6660111962719	3.64055206846317	3.72144211360693	3.6566884167434	3.62315635310471	3.66643197849632	3.6231649662455	3.62064770139159	3.60105300036023	3.65677063597002	3.67443992484222	3.67302768512585
Palm	-0.791365465590689	-0.212942110819664	-0.281109113144442	-0.200686756228748	-0.169348427619964	-0.124697459736451	-0.165219924744986	-0.906124334603455	-0.182787735036482	-0.170822453848266	-0.220084535285592	-0.210815792976828	-0.156730125704162	-0.0466828347660309
Parp12	-0.367839908004644	-0.129101932397252	0.152397445798065	0.5619601750576	0.921287884572119	1.27889005733719	1.63091501537411	-0.823412786430991	-0.387835097115864	-0.0686169313578441	0.45553966734497	0.958481250569504	1.2562987399264	1.52239305204836
Parp14	1.77423643234255	1.95970708695914	2.00415907088481	2.40617010484203	3.02105957156065	3.33187592385632	3.55809738769766	1.72111981231195	1.89496679583815	1.96401273548815	2.33725958055327	2.99774261670697	3.35033399279622	3.44178191263269
Parp4	0.309271772787235	0.371532792726957	0.314719036823063	0.597101402726604	0.721553491953173	0.82593725411853	1.04149738976404	0.241983581902809	0.324074808300763	0.327162423628525	0.63597368771818	0.686702964244279	0.82974825580317	1.01643364187707
Pbrm1	0.349774983127541	0.238991280484035	0.339767130564837	0.345190435980275	0.322150969222932	0.404035934421113	0.382494011873357	0.198960693462649	0.29164990410803	0.265853000031823	0.280571571801105	0.223377118536938	0.376872872388097	0.384589647668192
Pbxip1	-0.664353293258223	0.205664562284504	0.340332490078985	0.461603956292812	0.506884498592312	0.701045724292644	0.746589645533639	-0.918053555832887	0.134803477443696	0.262977567759803	0.2146784013279	0.442830526650669	0.571604514698806	0.676826898504643
Pcbp1	5.04511670381545	5.05082735222877	5.13619708582417	5.44892344309051	5.66669312123507	5.96457048552274	5.98472168931843	4.97441491470318	4.97025328572509	5.06336373123146	5.3508662947176	5.60640663941651	5.90024587165087	6.08828820585555
Pcbp2	3.2355007554485	3.38134974569952	3.51998134880854	3.91965430783621	4.32923488263776	4.4888690871959	4.70397190791398	3.2680991839488	3.32627967426265	3.50225135486501	3.86943175604797	4.26109031378748	4.59937552660943	4.6455229287236
Pccb	1.12297171562538	1.28488620494373	1.22194237702152	1.22248019756651	1.26825869970787	1.1963321403655	1.38094770052301	1.14582847750841	1.23559366183079	1.16982088102603	1.19479485790532	1.33199437551045	1.33892330010244	1.37591733445978
Pcna	3.89465508958969	4.15183362435839	4.24179629219499	4.57116360081871	4.62932409998721	4.85104364683323	4.99079099754694	3.87245658836409	3.97388279156599	4.25007931921718	4.57183545497133	4.65559577540954	4.82268082486449	4.98391455205371
