Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Tbc1d10b	110.4598407	61.37844756	87.42204424	73.09765859	88.9962593	93.68861182	103.7162153	81.44759011	46.06199955	74.73025953	86.35209845	92.48913148	91.31573488	95.79813736
Elmo2	65.88777143	41.58727215	21.24328278	13.6487766	12.60408917	11.10555263	13.37420759	40.25900241	48.8646432	23.09669668	16.52683925	19.85580743	24.09839582	18.41279876
Psmf1	19.80469888	14.568073	14.03828215	13.65710012	16.01561063	20.77431489	17.35127485	15.95148739	13.29282624	9.311580433	10.86474191	18.58042776	10.34422047	10.11202774
Rbm22	53.75641241	46.12648221	44.11946381	54.96391116	38.43074055	36.20449885	36.55110814	53.61829133	61.50768884	47.82419468	61.57331016	48.37871831	50.94105219	47.30227287
Fam49a	21.31381757	23.14897821	25.68942932	15.8936605	28.94388125	39.19094746	25.6515693	17.63784644	12.28161063	25.85576124	20.91460186	34.25237773	29.59787438	22.82505987
Zfp592	14.56321582	9.91858569	9.918637426	9.207151955	9.737692673	9.330289054	9.226537549	7.887580728	12.04313231	13.23930948	6.487478904	7.774687782	8.49492662	6.511193313
Cdkn2aip	8.498327282	7.702515459	4.054698632	5.463393173	6.723122088	7.453828575	9.149180903	11.73008362	7.006074725	2.976718523	4.368657074	5.430698464	5.852386673	5.732542399
mKIAA0268;Mia3	89.70894255	96.72980313	66.54260376	55.73262063	57.8777417	43.43198081	41.76775888	78.95063769	101.8751695	83.98444237	59.41655113	39.33420583	40.0684747	38.39702909
Iars2	55.9275784	38.88978122	32.60098204	22.52900374	30.66328473	33.45618063	29.0428385	47.56023449	37.12740855	22.90532105	26.9963519	32.50716337	44.29505329	57.80646656
Rufy1	37.49102781	25.89017531	24.26420993	13.7640551	15.58824582	17.57543108	19.35204539	28.11537089	20.3116841	18.66247407	12.79601437	10.46332748	12.56670194	15.68088567
Prune	24.33369387	21.37425881	7.084564787	11.98892003	9.658559587	15.20230772	23.52456312	29.69107321	21.8451059	9.855913192	11.35216173	14.42284586	15.6899932	23.0556883
Nagpa	79.69192688	59.6492236	34.37680712	25.41291832	21.21920607	30.18362725	34.77205904	61.7653707	50.26025425	37.52406291	31.66960031	28.626405	33.14963896	30.91926039
Nup93	62.88244409	52.04968123	46.08373153	30.02357653	29.81626418	31.86007511	31.22097438	74.77240151	30.68662123	33.06187181	24.2528876	31.32066742	26.23789112	29.42156681
