Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Rsu1	5.4192	5.13623	5.12381	5.03819	4.89812	4.8639	4.81242	5.19377	5.28263	5.23128	5.06234	4.91559	4.85337	4.75288
Rtn4	4.85856	4.77778	4.83678	4.83854	4.98096	5.09021	5.03264	4.68657	4.71161	4.94726	5.07565	5.12889	4.91992	4.94556
Rufy1	3.35817	3.18584	2.95158	2.62252	2.61273	2.75839	2.83738	3.34192	3.17897	2.99529	2.71718	2.54268	2.68043	2.87014
Ruvbl1	3.49226	3.44007	3.00748	2.59333	2.49457	2.54464	2.60235	3.35117	3.36642	3.08283	2.51643	2.62415	2.72169	2.51201
S100a10	7.2511	7.04359	6.97644	6.9072	6.86052	6.73042	6.56183	7.10867	7.03683	7.11217	7.05385	6.89189	6.55656	6.57114
S100a4	8.2391	8.2411	8.16577	8.14725	8.09954	7.7184	7.43562	8.35965	8.05898	8.09861	8.10979	7.9885	7.81446	7.61679
S100a6	8.12569	8.14338	8.01719	7.9712	7.90931	7.52748	7.2265	8.12866	7.89447	7.99103	7.98309	7.82193	7.64169	7.45989
S100a8	7.06557	7.64795	7.66561	7.09884	6.67211	6.2606	5.95909	7.39437	7.66903	7.33796	7.01465	6.76388	6.15923	6.03064
S100a9	7.22333	7.81701	7.91129	7.40892	6.92733	6.45976	6.22833	7.62102	7.80552	7.38241	7.13026	6.98827	6.69813	6.35038
SMIF;Dcp1a	2.64113	2.48864	2.58551	2.92316	3.02419	3.03458	3.03719	2.59577	2.78939	2.88036	2.98866	2.89837	2.74323	2.83862
Sap30	3.44502	3.57532	4.78996	5.38661	5.19646	4.8202	4.61013	3.55049	3.62296	4.97504	5.54195	5.26474	4.55962	4.3089
Sart1	3.34123	3.3991	3.3872	3.24049	3.09418	3.13603	3.25081	3.30991	3.20134	3.38695	3.37651	3.19063	3.18385	3.19985
Sash1;SASH1	3.20405	3.84201	3.91283	3.58841	3.60049	3.55447	3.63536	3.40949	4.12556	3.95181	3.23636	3.37364	3.67044	3.57032
Sbds	4.94429	5.59643	6.10235	6.25321	6.29181	6.00897	5.76315	4.70487	5.72074	6.32089	6.39033	6.26972	5.86072	5.69294
Scamp1	4.28797	4.29244	4.09752	3.88656	3.99486	4.1758	4.22657	4.27495	4.22451	4.17313	3.99993	4.03825	4.11039	4.14055
Scfd1	3.33239	3.3181	3.25985	3.33288	3.4568	3.32232	3.24687	3.13267	3.32999	3.37788	3.42831	3.63035	3.29894	3.07108
Scp2	4.7491	4.54669	4.39603	4.28876	4.25778	4.23471	4.22852	4.42268	4.57189	4.47321	4.33174	4.34436	4.31251	4.2452
Scpep1	4.56451	4.55999	4.57452	4.42129	4.4882	4.89841	5.09844	4.53389	4.46156	4.59409	4.52749	4.70955	4.8275	4.95129
Sdcbp	6.60484	6.61168	6.63866	6.70588	6.87498	6.85889	6.70719	6.56389	6.60884	6.75964	6.74549	6.79544	6.74777	6.78105
Sdf2l1	5.3267	5.06178	4.80994	4.56742	4.58471	4.7852	4.71354	5.07069	4.84645	4.91216	4.85947	4.83522	4.65923	4.66608
Sdhaf2;0610038F07Rik	4.20956	4.21658	4.00165	3.8668	3.94225	4.12129	4.24633	4.00117	4.30714	4.11451	3.91342	4.02206	4.0998	4.14635
Sdhb	5.5847	5.35499	5.19827	5.0696	4.89869	4.99011	5.12904	5.48659	5.46696	5.30199	5.11326	4.97635	4.85252	5.02774
Sec23b	4.24	4.08599	4.17327	4.49576	4.62944	4.34355	4.03595	4.14927	4.06548	4.14579	4.55502	4.59823	4.2698	4.22036
Sec61b	7.24337	7.26043	7.18302	7.24267	7.22556	6.97004	6.75335	7.32513	7.20707	7.17958	7.12346	7.07795	7.07934	6.88591
Selenbp1	2.67666	2.4896	2.13833	1.55992	1.09441	1.87342	3.30975	2.60569	2.44215	2.37811	1.6667	1.19684	1.91156	2.94105
Sept2	5.5668	5.54327	5.48758	5.45155	5.52197	5.34796	5.18518	5.56561	5.59389	5.54715	5.4604	5.45856	5.28333	5.19537
Sepx1	6.73313	6.60156	6.38816	6.27254	6.39731	6.64687	6.73927	6.85802	6.65629	6.40384	6.18339	6.33197	6.62852	6.71681
Serpinb2	1.86162	4.29072	5.2407	4.74734	3.92363	2.85247	2.47519	2.38483	4.55478	5.53345	5.01459	3.80023	2.12702	1.97678
Sf3b1	4.9359	5.09628	4.98394	4.77485	4.72093	4.7852	4.95608	4.74505	5.27463	5.19561	4.83742	4.70548	4.674	4.82097
Sf3b3	4.03599	4.0592	3.91825	3.71268	3.53315	3.40641	3.34853	3.95874	4.10317	3.92584	3.63341	3.59511	3.45445	3.3435
Sf3b5	5.89023	5.90341	5.68801	5.62138	5.53986	5.33519	5.25193	5.9284	5.44662	5.56197	5.70386	5.58634	5.55146	5.45134
Sfpq	4.87242	5.04189	4.94194	4.61329	4.39261	4.12969	4.07996	4.88998	5.23533	4.95823	4.60541	4.45227	4.07432	3.85627
Sfrs3;Srsf3	5.40291	5.49833	5.49227	5.51323	5.36669	4.97486	4.86696	5.59222	5.47202	5.52695	5.38929	5.25835	5.00484	4.87158
Sgpl1;mKIAA1252	5.12702	5.03839	5.02165	5.00894	5.20707	5.43027	5.43444	5.05998	4.81622	5.14319	5.28122	5.26812	5.28693	5.41214
Sh3bgrl	6.03522	5.98242	6.09035	6.1342	6.32401	6.52218	6.49825	5.88941	6.09595	6.23212	6.26043	6.36072	6.37074	6.37724
Sh3bgrl3	8.27019	8.12131	8.04831	8.02794	7.93219	7.78792	7.64231	8.21082	7.99221	8.01654	7.96044	7.89959	7.8967	7.85386
Sh3glb1;AK086477	4.99287	5.02171	5.14299	5.29805	5.4629	5.5513	5.51119	5.01627	4.98777	5.17355	5.32331	5.43729	5.56141	5.48141
Sh3glb2	3.81438	3.58635	3.1641	2.94192	2.6949	2.85884	3.20179	3.70132	3.68585	3.27873	3.0555	2.95819	2.75554	2.82715
Shc1	4.33642	4.19463	4.1306	3.97836	4.07244	4.33466	4.39679	4.31823	4.38141	4.22007	4.09	4.07197	4.09271	4.2695
Sik3	2.87564	3.09069	3.21419	3.42507	3.44085	3.44091	3.5369	2.82237	2.78551	3.11272	3.55983	3.62693	3.55517	3.56172
Sin3a	3.20466	3.01353	2.64983	2.45693	2.54145	2.82963	3.03095	3.05809	3.03186	2.61321	2.5611	2.64911	2.88297	2.93064
Sirt2	4.41328	4.258	4.27708	4.15816	4.14535	4.39837	4.49093	4.37752	4.41835	4.44131	4.25407	4.15154	4.15405	4.34435
Skap2	5.45986	5.53593	5.4911	5.36039	5.41615	5.37239	5.33494	5.48071	5.40743	5.47096	5.35976	5.39865	5.43354	5.41972
Slc15a3	5.24965	5.56636	6.03532	6.3403	6.52886	6.60334	6.53322	5.34529	5.70542	5.91824	6.29225	6.55536	6.52913	6.51136
Slc25a3	6.5251	6.54496	6.51343	6.36298	6.28026	6.21118	6.21283	6.54121	6.57539	6.55308	6.42837	6.29623	6.09335	6.16311
Slc25a4	5.31182	5.14886	5.08878	4.92899	4.76374	4.83644	4.94768	5.34487	5.2662	5.26001	4.972	4.8323	4.61609	4.73485
Slc25a5	6.26924	6.11827	6.13547	6.0241	5.81913	5.74547	5.6808	5.99118	6.49608	6.35459	6.01089	5.91625	5.58445	5.43905
Slc3a2	6.03907	6.56861	6.69732	6.62463	6.53086	6.56889	6.66906	6.34217	6.61306	6.58003	6.50256	6.46055	6.66432	6.53576
Slc7a2	4.80216	5.78685	6.65633	6.88857	7.05648	7.1792	7.17218	5.08609	5.82435	6.66265	6.93573	6.98628	7.04958	6.99709
Slc9a3r1	4.93853	5.03967	5.19557	5.09467	5.06	5.2401	5.24415	4.883	5.00585	5.35026	5.192	4.97923	5.15408	5.24827
Slfn1	3.35537	3.34879	4.50609	5.32726	5.51703	5.58488	5.54414	3.18246	3.3312	4.32923	5.33649	5.67722	5.66292	5.66404
Smad2	3.97262	4.00464	4.00128	3.8095	3.74888	3.81706	3.69865	3.80758	4.29457	4.10327	3.92268	3.82328	3.59776	3.50349
Smap2	5.02875	4.97486	4.6592	4.36689	4.53681	5.04006	5.26154	5.02122	5.11213	4.64111	4.31239	4.54013	5.0392	5.20193
