Gene Group	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
2310047M10Rik	10.395448076891542	10.329451555231072	9.976358933205383	9.14644082562168	8.238219621618311	7.765559860285305	7.872649664904995	9.773073323732776	9.614683022433617	9.70668810225311	9.460886907012487	8.68948602973774	8.085741208707013	8.033152267271184
2400003C14Rik	149.09058803624214	151.21621897735943	145.69749005386453	143.24777433242232	146.07546796417446	148.77088988241474	151.84374164657737	150.04727440827511	144.18470820910392	144.5678353760988	147.30969532575259	145.68045080111253	150.96479061111626	152.0015459574218
2410001C21Rik	12.246278670727797	10.819749302422771	10.164340601170068	11.633754807187753	12.091906223851701	12.004644778297674	12.53680750747983	12.612716830231108	11.395434469114775	10.639213123898987	11.218634056043978	11.332297227560138	11.8870378114398	12.411669924622272
2500003M10Rik;Fop	31.061432099055228	30.49258153349972	30.697495292232414	30.88036712357999	30.37431785229535	29.791983498951993	31.032381945354132	30.763852671638467	30.885258303972513	30.875936001696207	30.688641003446065	30.907785358975744	30.4306315650568	29.962077467466784
2610029G23Rik	116.07571152562431	118.747147873605	115.28194138626796	113.3148407799182	116.07616403951594	108.28613652103797	103.88969717803151	118.85537085931348	118.91826677178045	118.22037456380889	116.80001025674369	112.53264544569907	106.30246602726143	101.05262596489366
2610101N10Rik	22.581479021999463	21.290283994742154	20.179205341876575	19.652653300731444	18.820372878509488	18.66219862618043	19.5314504528439	21.380090303100758	20.74241239701157	20.24763829538331	20.7554782541882	19.565740430828047	18.41096102837904	19.757726211487196
3110003A17Rik	53.03766991368913	52.168001815951044	52.04212202930999	51.79372417013252	50.36272793905784	51.72865110928848	52.96551142810091	49.93009105434982	50.16329027162737	52.17129564595888	52.3127998479482	51.78069286270195	53.417970403550356	54.310307930870565
6330577E15Rik	5.541063055843824	5.841707057381141	6.07953771595464	6.065584880652753	5.778781721555012	5.658949704953617	6.051095931229778	5.6231520838879785	5.920119465156445	5.8701390759463825	5.918555449407853	5.8884851146559924	5.7385826085792075	5.830214181733499
9630033F20Rik	45.440429808538404	45.087499152089286	45.41365733617817	43.21261527637485	39.42582204696179	38.59512166954161	37.7498430591816	44.228960160220346	43.77736764476754	44.799817970982936	43.72146529591405	41.52561303773465	39.64520821547615	36.92867550393524
A230051G13Rik	10.461748914871098	10.910858363119209	10.338227352257842	9.999867560990413	10.104326887202394	9.544611602535994	9.193170780536162	10.870859050311918	10.484648841366816	10.47726328774652	10.016818465445445	9.813886938467027	9.441989777476495	9.446526256066049
