ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000180745	4.1546166099	4.1129499713	4.0715366853	3.9887402941	4.1030579196	3.9223154412	3.8363912837	3.7758203351	4.0213569356	3.9845076082	3.94800435	3.8792295004	4.1157990633	4.0340420289	4.1050867259	4.1724110309
ENSG00000180988	3.742397273	3.8079801269	3.8736233134	4.00520808	4.2258694918	4.0824981442	3.9438064757	3.8405108822	4.0045881941	3.9899202394	3.975731804	3.952153032	3.8351383393	4.1795553939	4.1394696685	4.0834822983
ENSG00000237697	4.2215968498	4.4037279852	4.586126704	4.9511560212	3.9834664206	4.1767685568	4.2924983412	4.370336757	4.1495324374	4.2530989988	4.3565459779	4.5636881062	4.0316702645	4.0946989039	3.89891138	3.727427355
ENSG00000250889	4.0683412498	4.1879293245	4.3076459393	4.547601909	3.7729930945	3.985704835	4.3335624381	4.5753143751	4.1951922457	4.2068977922	4.2183054278	4.2398836396	3.8344710237	4.0171918102	4.3455540332	4.6028528831
ENSG00000144962	4.3165791748	4.2845125447	4.2513978363	4.1786679461	3.7705093415	3.9494747221	3.9047774268	3.8467819517	4.0730211546	4.0224970585	3.9725184016	3.8720284114	4.0307783927	3.8385402571	3.8323695917	3.84472674
ENSG00000148488	3.9003186301	3.9272304168	3.9547888574	4.0136361459	4.2264508552	4.0441507077	4.0374406495	4.0085241793	3.927586549	3.9996666101	4.0716078058	4.217887391	4.1166610053	3.7914403874	4.0408563982	4.2808004229
ENSG00000197991	3.9432441654	3.9556920979	3.9682730354	3.9952690274	4.2255208585	4.0941301278	4.0511782754	4.0272378718	4.0288088081	4.0127698423	3.9967086535	3.9645132717	4.0304154121	4.006654388	4.0265977148	4.047870497
ENSG00000204365	3.9589591688	3.9288613323	3.8991702456	3.8415227271	3.73204776	3.8361754648	3.8532251901	3.8585620256	4.0420648566	4.0103680906	3.9787185985	3.9150286304	4.003978168	3.6172343019	3.8267655083	3.8990652806
ENSG00000229869	3.5263533621	3.6690363996	3.8115257036	4.0956819464	4.5843121885	4.1674492685	3.9621928181	3.8235328593	3.9977513168	3.9630243545	3.9288764562	3.8621493996	3.7943830743	3.7670131066	3.8090188073	3.8518947051
ENSG00000234736	3.6991059771	3.8394397774	3.9796423618	4.2584949916	3.9804792869	3.8121258561	3.8642448776	3.9245072787	4.6549418647	4.4482612664	4.241580668	3.8282194713	3.7314475215	3.7608241827	4.0421049756	4.2820308325
ENSG00000242049	3.9761902286	3.9880458022	3.9985617937	4.0118192325	3.8502340748	3.7909034127	3.7873088186	3.7880302807	3.9098471458	3.9262123833	3.9435048037	3.9824443379	3.9800171146	3.9163499165	4.0805946779	4.2291886314
ENSG00000185385	5.9514650112	5.8252547464	5.6988670449	5.44120401	5.0977793037	5.8552278483	5.6405959545	5.5247198884	5.8489835168	5.7902768173	5.7345997849	5.6448592608	6.5656568991	5.6204698069	5.2489015643	5.0306164749
ENSG00000197658	4.5694374898	4.6040042494	4.6387229746	4.7097286992	4.3481790141	4.6583202551	4.7249905371	4.7490791294	4.3373808654	4.4548293364	4.5722778075	4.8071747496	4.9482996873	4.7493477327	4.5361279796	4.3750223119
ENSG00000183318	5.6382969499	5.4953144898	5.3513881778	5.0623179741	4.0380308711	5.2836801088	4.0751767835	3.5129096471	5.5711835409	5.4733772332	5.3758013498	5.1818483323	5.5951733763	5.2644559114	5.1164288977	4.9791946398
ENSG00000114315	4.9378782332	5.521643413	6.106461392	7.2848749752	7.059347673	5.9856807157	5.6271596681	5.4295537084	5.1557289564	5.4997662079	5.8427892902	6.5246402302	5.9646116496	6.1096725651	6.0156030544	5.9219225054
ENSG00000183833	4.0979170194	4.146991878	4.1965686233	4.2997938035	4.2266869451	4.1831527006	4.2686601345	4.347701285	4.4292331184	4.3852644897	4.3408921447	4.2504778057	4.3779245101	4.277157055	4.3274568652	4.3759120826
ENSG00000233306	4.2646266424	4.3031663979	4.3410504325	4.4138533986	5.0134572719	4.590365418	4.1254703582	3.774281574	3.7273222955	3.7490329236	3.7708836761	3.8149318109	4.2416738822	4.3461780357	4.3630908649	4.3667035405
ENSG00000139737	4.1958313261	4.1906722158	4.1857137139	4.1747361349	3.7324201834	4.180773754	4.1581506764	4.0970325313	4.5203487548	4.4427226865	4.3656876699	4.2142200697	4.4913901381	4.2783020823	4.1792736795	4.1148463937
ENSG00000184507	4.4426545083	4.3942950271	4.3458818941	4.2484380615	4.2251993966	4.1946614026	4.1215719484	4.0665818851	4.4955747265	4.4476153276	4.4004055433	4.3094452625	4.4201243634	4.5146950968	4.4262454425	4.3410447312
ENSG00000016402	4.3108078641	4.3100849079	4.3093619518	4.3079160395	3.7634523476	4.0260791094	4.2501573412	4.4176041248	4.42691103	4.4347041278	4.4420589678	4.4549240759	4.2542164191	4.2788182511	4.2646982856	4.2512497983
